namePlayer,idPlayer_nbacom,seasonFirst_nbacom,seasonLast_nbacom,urlPlayerStats_nbacom
Alaa Abdelnaby,76001,1990,1994,https://stats.nba.com/player/76001
Zaid Abdul-Aziz,76002,1968,1977,https://stats.nba.com/player/76002
Kareem Abdul-Jabbar,76003,1969,1988,https://stats.nba.com/player/76003
Mahmoud Abdul-Rauf,51,1990,2000,https://stats.nba.com/player/51
Tariq Abdul-Wahad,1505,1997,2003,https://stats.nba.com/player/1505
Shareef Abdur-Rahim,949,1996,2007,https://stats.nba.com/player/949
Tom Abernethy,76005,1976,1980,https://stats.nba.com/player/76005
Forest Able,76006,1956,1956,https://stats.nba.com/player/76006
John Abramovic,76007,1946,1947,https://stats.nba.com/player/76007
Alex Abrines,203518,2016,2018,https://stats.nba.com/player/203518
Precious Achiuwa,1630173,2020,2022,https://stats.nba.com/player/1630173
Alex Acker,101165,2005,2008,https://stats.nba.com/player/101165
Donald Ackerman,76008,1953,1953,https://stats.nba.com/player/76008
Mark Acres,76009,1987,1992,https://stats.nba.com/player/76009
Charles Acton,76010,1967,1967,https://stats.nba.com/player/76010
Quincy Acy,203112,2012,2018,https://stats.nba.com/player/203112
Alvan Adams,76011,1975,1987,https://stats.nba.com/player/76011
Don Adams,76012,1970,1976,https://stats.nba.com/player/76012
Hassan Adams,200801,2006,2008,https://stats.nba.com/player/200801
Jaylen Adams,1629121,2018,2020,https://stats.nba.com/player/1629121
Jordan Adams,203919,2014,2015,https://stats.nba.com/player/203919
Michael Adams,149,1985,1995,https://stats.nba.com/player/149
Steven Adams,203500,2013,2022,https://stats.nba.com/player/203500
Rafael Addison,912,1986,1996,https://stats.nba.com/player/912
Bam Adebayo,1628389,2017,2022,https://stats.nba.com/player/1628389
Deng Adel,1629061,2018,2018,https://stats.nba.com/player/1629061
Rick Adelman,76015,1968,1974,https://stats.nba.com/player/76015
Jeff Adrien,202399,2010,2014,https://stats.nba.com/player/202399
Arron Afflalo,201167,2007,2017,https://stats.nba.com/player/201167
Ochai Agbaji,1630534,2022,2022,https://stats.nba.com/player/1630534
Maurice Ager,200772,2006,2010,https://stats.nba.com/player/200772
Mark Aguirre,76016,1981,1993,https://stats.nba.com/player/76016
Blake Ahearn,201336,2007,2011,https://stats.nba.com/player/201336
Danny Ainge,76017,1981,1994,https://stats.nba.com/player/76017
Alexis Ajinca,201582,2008,2017,https://stats.nba.com/player/201582
Henry Akin,76018,1966,1967,https://stats.nba.com/player/76018
Josh Akognon,203006,2012,2012,https://stats.nba.com/player/203006
DeVaughn Akoon-Purcell,1629152,2018,2018,https://stats.nba.com/player/1629152
Solomon Alabi,202374,2010,2011,https://stats.nba.com/player/202374
Mark Alarie,76019,1986,1990,https://stats.nba.com/player/76019
Gary Alcorn,76020,1959,1960,https://stats.nba.com/player/76020
Santi Aldama,1630583,2021,2022,https://stats.nba.com/player/1630583
Furkan Aldemir,203128,2014,2014,https://stats.nba.com/player/203128
Cole Aldrich,202332,2010,2017,https://stats.nba.com/player/202332
LaMarcus Aldridge,200746,2006,2021,https://stats.nba.com/player/200746
Chuck Aleksinas,76021,1984,1984,https://stats.nba.com/player/76021
Cliff Alexander,1626146,2015,2015,https://stats.nba.com/player/1626146
Cory Alexander,724,1995,2004,https://stats.nba.com/player/724
Courtney Alexander,2042,2000,2003,https://stats.nba.com/player/2042
Gary Alexander,76022,1993,1993,https://stats.nba.com/player/76022
Joe Alexander,201570,2008,2009,https://stats.nba.com/player/201570
Kyle Alexander,1629734,2019,2019,https://stats.nba.com/player/1629734
Ty-Shon Alexander,1630234,2020,2020,https://stats.nba.com/player/1630234
Victor Alexander,2349,1991,2001,https://stats.nba.com/player/2349
Nickeil Alexander-Walker,1629638,2019,2022,https://stats.nba.com/player/1629638
Steve Alford,76024,1987,1990,https://stats.nba.com/player/76024
Rawle Alkins,1628959,2018,2018,https://stats.nba.com/player/1628959
Bob Allen,76028,1968,1968,https://stats.nba.com/player/76028
Grayson Allen,1628960,2018,2022,https://stats.nba.com/player/1628960
Jarrett Allen,1628386,2017,2022,https://stats.nba.com/player/1628386
Jerome Allen,706,1995,1996,https://stats.nba.com/player/706
Kadeem Allen,1628443,2017,2019,https://stats.nba.com/player/1628443
Lavoy Allen,202730,2011,2016,https://stats.nba.com/player/202730
Lucius Allen,76027,1969,1978,https://stats.nba.com/player/76027
Malik Allen,2124,2001,2010,https://stats.nba.com/player/2124
Randy Allen,76025,1988,1989,https://stats.nba.com/player/76025
Ray Allen,951,1996,2013,https://stats.nba.com/player/951
Tony Allen,2754,2004,2017,https://stats.nba.com/player/2754
Odis Allison,76029,1971,1971,https://stats.nba.com/player/76029
Lance Allred,200984,2007,2007,https://stats.nba.com/player/200984
Darrell Allums,76030,1980,1980,https://stats.nba.com/player/76030
Morris Almond,201165,2007,2011,https://stats.nba.com/player/201165
Derrick Alston,308,1994,1996,https://stats.nba.com/player/308
Rafer Alston,1747,1999,2009,https://stats.nba.com/player/1747
Peter Aluma,1824,1998,1998,https://stats.nba.com/player/1824
Jose Alvarado,1630631,2021,2022,https://stats.nba.com/player/1630631
John Amaechi,680,1995,2002,https://stats.nba.com/player/680
Ashraf Amaya,732,1995,1996,https://stats.nba.com/player/732
Al-Farouq Aminu,202329,2010,2020,https://stats.nba.com/player/202329
Lou Amundson,200811,2006,2015,https://stats.nba.com/player/200811
Bob Anderegg,76034,1959,1959,https://stats.nba.com/player/76034
Chris Andersen,2365,2001,2016,https://stats.nba.com/player/2365
David Andersen,2431,2009,2010,https://stats.nba.com/player/2431
Alan Anderson,101187,2005,2016,https://stats.nba.com/player/101187
Antonio Anderson,202079,2009,2009,https://stats.nba.com/player/202079
Cliff Anderson,76035,1967,1970,https://stats.nba.com/player/76035
Daniel Anderson,76036,1974,1975,https://stats.nba.com/player/76036
Derek Anderson,1507,1997,2007,https://stats.nba.com/player/1507
Dwight Anderson,76037,1982,1982,https://stats.nba.com/player/76037
Eric Anderson,944,1992,1993,https://stats.nba.com/player/944
Greg Anderson,246,1987,1997,https://stats.nba.com/player/246
James Anderson,202341,2010,2015,https://stats.nba.com/player/202341
Jerome Anderson,76040,1975,1976,https://stats.nba.com/player/76040
Justin Anderson,1626147,2015,2021,https://stats.nba.com/player/1626147
Kenny Anderson,72,1991,2004,https://stats.nba.com/player/72
Kim Anderson,76041,1978,1978,https://stats.nba.com/player/76041
Kyle Anderson,203937,2014,2022,https://stats.nba.com/player/203937
Michael Anderson,76042,1988,1988,https://stats.nba.com/player/76042
Mitchell Anderson,76043,1982,1984,https://stats.nba.com/player/76043
Nick Anderson,98,1989,2002,https://stats.nba.com/player/98
Richard Anderson,76045,1982,1989,https://stats.nba.com/player/76045
Ron Anderson,76046,1984,1993,https://stats.nba.com/player/76046
Ryan Anderson,201583,2008,2019,https://stats.nba.com/player/201583
Shandon Anderson,1000,1996,2005,https://stats.nba.com/player/1000
Willie Anderson,335,1988,1996,https://stats.nba.com/player/335
Wally Anderzunas,76048,1969,1969,https://stats.nba.com/player/76048
Martynas Andriuskevicius,101149,2005,2006,https://stats.nba.com/player/101149
Don Anielak,76049,1954,1954,https://stats.nba.com/player/76049
Ike Anigbogu,1628387,2017,2018,https://stats.nba.com/player/1628387
Michael Ansley,76050,1989,1991,https://stats.nba.com/player/76050
Chris Anstey,1512,1997,1999,https://stats.nba.com/player/1512
Giannis Antetokounmpo,203507,2013,2022,https://stats.nba.com/player/203507
Kostas Antetokounmpo,1628961,2018,2022,https://stats.nba.com/player/1628961
Thanasis Antetokounmpo,203648,2015,2022,https://stats.nba.com/player/203648
Carmelo Anthony,2546,2003,2021,https://stats.nba.com/player/2546
Cole Anthony,1630175,2020,2022,https://stats.nba.com/player/1630175
Greg Anthony,21,1991,2001,https://stats.nba.com/player/21
Joel Anthony,201202,2007,2016,https://stats.nba.com/player/201202
Pero Antic,203544,2013,2014,https://stats.nba.com/player/203544
O.G. Anunoby,1628384,2017,2022,https://stats.nba.com/player/1628384
Keith Appling,203951,2015,2015,https://stats.nba.com/player/203951
Rafael Araujo,2737,2004,2006,https://stats.nba.com/player/2737
Stacey Arceneaux,76053,1961,1961,https://stats.nba.com/player/76053
Nate Archibald,76054,1970,1983,https://stats.nba.com/player/76054
Robert Archibald,2425,2002,2003,https://stats.nba.com/player/2425
Ryan Arcidiacono,1627853,2017,2022,https://stats.nba.com/player/1627853
Jim Ard,76055,1974,1977,https://stats.nba.com/player/76055
Gilbert Arenas,2240,2001,2011,https://stats.nba.com/player/2240
Trevor Ariza,2772,2004,2021,https://stats.nba.com/player/2772
Paul Arizin,76056,1950,1961,https://stats.nba.com/player/76056
Joe Arlauckas,76057,1987,1987,https://stats.nba.com/player/76057
B.J. Armstrong,769,1989,1999,https://stats.nba.com/player/769
Bob Armstrong,76061,1956,1956,https://stats.nba.com/player/76061
Brandon Armstrong,2220,2001,2003,https://stats.nba.com/player/2220
Darrell Armstrong,353,1994,2007,https://stats.nba.com/player/353
Hilton Armstrong,200756,2006,2013,https://stats.nba.com/player/200756
Paul Armstrong,76060,1948,1950,https://stats.nba.com/player/76060
Tate Armstrong,76059,1977,1978,https://stats.nba.com/player/76059
Jesse Arnelle,76062,1955,1955,https://stats.nba.com/player/76062
Jay Arnette,76063,1963,1965,https://stats.nba.com/player/76063
Bob Arnzen,76064,1970,1970,https://stats.nba.com/player/76064
Carlos Arroyo,2306,2001,2010,https://stats.nba.com/player/2306
Darrell Arthur,201589,2008,2017,https://stats.nba.com/player/201589
John Arthurs,76065,1969,1969,https://stats.nba.com/player/76065
