,Datetime,Tweet Id,Text,URL,Username,tweet.user.followersCount,tweet.replyCount,tweet.retweetCount,tweet.likeCount,tweet.quoteCount,tweet.lang,tweet.outlinks,tweet.media,tweet.retweetedTweet,tweet.quotedTweet,tweet.inReplyToTweetId,tweet.inReplyToUser,tweet.mentionedUsers,tweet.coordinates,tweet.place,tweet.hashtags,tweet.cashtags
0,2022-10-31 23:51:17+00:00,1587230761790291968,Quick strike https://t.co/kOYrjymMwf,https://twitter.com/ATLHawks/status/1587230761790291968,ATLHawks,1532943,7,14,114,1,en,,"[Video(thumbnailUrl='https://pbs.twimg.com/media/Fgb54YmUYAA-VcB.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1587230681167339520/vid/640x360/YaJweHWozcu_N4LX.mp4?tag=14', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1587230681167339520/vid/480x270/nK5adC8efNlZGC1D.mp4?tag=14', bitrate=288000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/amplify_video/1587230681167339520/pl/M1KqQrmMhZkGCDm9.m3u8?tag=14&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1587230681167339520/vid/1280x720/lFUzZVAIf2J-X9KL.mp4?tag=14', bitrate=2176000)], duration=8.106, views=3982)]",,,,,,,,,
1,2022-10-31 23:46:20+00:00,1587229514286841856,DJ connects with CC for the jam 💪 https://t.co/GooUFHuV5X,https://twitter.com/ATLHawks/status/1587229514286841856,ATLHawks,1532943,4,16,144,0,en,,"[Video(thumbnailUrl='https://pbs.twimg.com/media/Fgb4vVrVQAApkx8.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1587229425619259392/vid/1280x720/Dfwgs8syheEEhKL_.mp4?tag=14', bitrate=2176000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1587229425619259392/vid/480x270/1lwOgr_ViHMP0Vrm.mp4?tag=14', bitrate=288000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/amplify_video/1587229425619259392/pl/s7BglgdeOf-7OS2f.m3u8?tag=14&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1587229425619259392/vid/640x360/tB-M0CdsAnsFgs_X.mp4?tag=14', bitrate=832000)], duration=7.155, views=3987)]",,,,,,,,,
2,2022-10-31 23:14:13+00:00,1587221432366514176,"Starting 🖐 in Toronto 

Presented by @Chase https://t.co/nT6JfcUJ1Z",https://twitter.com/ATLHawks/status/1587221432366514176,ATLHawks,1532943,11,35,234,5,en,,"[Photo(previewUrl='https://pbs.twimg.com/media/FgbxeqoXoAAAw_I?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FgbxeqoXoAAAw_I?format=jpg&name=large')]",,,,,"[User(username='Chase', id=274673392, displayname='Chase', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,
3,2022-10-31 22:39:47+00:00,1587212769559986177,"Pullin' up for Halloween hoops

#ULTRADrip | @MichelobULTRA https://t.co/y3JwVVQRUs",https://twitter.com/ATLHawks/status/1587212769559986177,ATLHawks,1532943,0,13,109,0,en,,"[Photo(previewUrl='https://pbs.twimg.com/media/Fgbpl9RWYAEuEOi?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fgbpl9RWYAEuEOi?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FgbpmRNXEAM4kSe?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FgbpmRNXEAM4kSe?format=jpg&name=large')]",,,,,"[User(username='MichelobULTRA', id=1447153124, displayname='Michelob ULTRA', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,['ULTRADrip'],
4,2022-10-31 22:25:26+00:00,1587209157224038401,"Spooky szn 

#ULTRADrip | @MichelobULTRA https://t.co/dIOOKhAT04",https://twitter.com/ATLHawks/status/1587209157224038401,ATLHawks,1532943,12,62,469,11,hu,,"[Photo(previewUrl='https://pbs.twimg.com/media/FgblUr3WAAILubs?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FgblUr3WAAILubs?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FgblV8PXoAAvdgH?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FgblV8PXoAAvdgH?format=jpg&name=large')]",,,,,"[User(username='MichelobULTRA', id=1447153124, displayname='Michelob ULTRA', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,['ULTRADrip'],
5,2022-10-31 20:04:14+00:00,1587173620459118593,Y’all join us in wishing @JIDsv a Happy Birthday 🎉🎤 https://t.co/oGtVVzrgLX,https://twitter.com/ATLHawks/status/1587173620459118593,ATLHawks,1532943,10,41,421,3,en,,"[Photo(previewUrl='https://pbs.twimg.com/media/FgbF_LXXwAAsl2Z?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FgbF_LXXwAAsl2Z?format=jpg&name=large')]",,,,,"[User(username='JIDsv', id=108314159, displayname='(J.I.D)', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,
6,2022-10-31 19:33:25+00:00,1587165865929474048,"Come see us in the 🅰️ 

🎟: https://t.co/vtkeKdsXfq

@Ticketmaster x #TrueToAtlanta https://t.co/Q7AjjeLzrq",https://twitter.com/ATLHawks/status/1587165865929474048,ATLHawks,1532943,4,20,106,2,en,"[TextLink(text='on.nba.com/3SGEAXo', url='http://on.nba.com/3SGEAXo', tcourl='https://t.co/vtkeKdsXfq', indices=(27, 50))]","[Photo(previewUrl='https://pbs.twimg.com/media/Fga-8SUWYAAjPBb?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fga-8SUWYAAjPBb?format=jpg&name=large')]",,,,,"[User(username='Ticketmaster', id=27743648, displayname='Ticketmaster', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,['TrueToAtlanta'],
7,2022-10-31 17:02:58+00:00,1587128004932763649,Gym work with Coach 😁 https://t.co/PmYatAPER4,https://twitter.com/ATLHawks/status/1587128004932763649,ATLHawks,1532943,6,27,330,12,en,,"[Video(thumbnailUrl='https://pbs.twimg.com/media/FgacgeHWYAMHdgj.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1587127960187854849/vid/320x400/USBA2nTtvjZU5FN6.mp4?tag=14', bitrate=632000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1587127960187854849/vid/720x900/Id6b-Fu4qUbRrFBU.mp4?tag=14', bitrate=2176000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/amplify_video/1587127960187854849/pl/2FqaigV1mqrfO7Ku.m3u8?tag=14&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1587127960187854849/vid/480x600/MK4exsC-XhvDHxq3.mp4?tag=14', bitrate=950000)], duration=15.473, views=7135)]",,,,,,,,,
8,2022-10-31 12:59:01+00:00,1587066614574469125,"Halloween hoops 👻 

🆚 @Raptors  
⏰ 7:30 pm
📍 @ScotiabankArena 
📺 @BallySportsSO 
📻 @929TheGame https://t.co/S4NZmxEIkP",https://twitter.com/ATLHawks/status/1587066614574469125,ATLHawks,1532943,20,61,464,7,en,,"[Photo(previewUrl='https://pbs.twimg.com/media/FgZkrIHWYAIQA0b?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FgZkrIHWYAIQA0b?format=jpg&name=large')]",,,,,"[User(username='Raptors', id=73406718, displayname='Toronto Raptors', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ScotiabankArena', id=83901762, displayname='Scotiabank Arena', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='BallySportsSO', id=22013467, displayname='Bally Sports South', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='929TheGame', id=846202338, displayname='92.9 The Game', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,
9,2022-10-30 21:01:55+00:00,1586825752493936640,"An @emoryhealthcare injury report for tomorrow’s game:

Bogdan Bogdanovic (right knee injury recovery): Out https://t.co/QR5fFEZUBd",https://twitter.com/ATLHawks/status/1586825752493936640,ATLHawks,1532943,7,14,110,2,en,,"[Photo(previewUrl='https://pbs.twimg.com/media/FgWJnMGXwAAjFwa?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FgWJnMGXwAAjFwa?format=jpg&name=large')]",,,,,"[User(username='emoryhealthcare', id=16828372, displayname='Emory Healthcare', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,
